15.125 372.944 23.997 0.800 4.750 2.500
30.395 373.512 22.440 0.800 5.000 2.500
17.478 365.158 25.721 0.800 4.250 2.250
34.077 366.289 23.925 0.800 4.500 2.250
48.336 367.344 22.401 0.800 4.750 2.250
60.724 368.333 21.089 0.800 5.000 2.250
20.249 355.689 27.706 0.800 3.750 2.000
38.449 357.625 25.609 0.800 4.000 2.000
53.820 359.364 23.857 0.800 4.250 2.000
78.389 362.390 21.082 0.800 4.750 2.000
88.372 363.727 19.959 0.800 5.000 2.000
23.547 343.912 30.019 0.800 3.250 1.750
43.719 347.035 27.534 0.800 3.500 1.750
60.395 349.749 25.497 0.800 3.750 1.750
86.391 354.293 22.337 0.800 4.250 1.750
96.730 356.236 21.079 0.800 4.500 1.750
105.757 358.010 19.978 0.800 4.750 1.750
113.710 359.642 19.004 0.800 5.000 1.750
27.500 328.831 32.763 0.800 2.750 1.500
68.420 337.930 27.354 0.800 3.250 1.500
83.404 341.497 25.379 0.800 3.500 1.500
95.947 344.615 23.721 0.800 3.750 1.500
115.786 349.866 21.080 0.800 4.250 1.500
123.780 352.116 20.004 0.800 4.500 1.500
130.808 354.171 19.051 0.800 4.750 1.500
137.041 356.060 18.198 0.800 5.000 1.500
32.228 308.737 36.139 0.800 2.250 1.250
58.286 316.659 32.380 0.800 2.500 1.250
94.464 328.333 27.155 0.800 3.000 1.250
107.555 332.843 25.247 0.800 3.250 1.250
127.677 340.208 22.276 0.800 3.750 1.250
135.595 343.285 21.086 0.800 4.000 1.250
142.474 346.056 20.041 0.800 4.250 1.250
148.512 348.571 19.112 0.800 4.500 1.250
153.860 350.870 18.278 0.800 4.750 1.250
158.635 352.981 17.525 0.800 5.000 1.250
37.672 280.326 40.703 0.800 1.750 1.000
68.638 293.586 35.660 0.800 2.000 1.000
91.207 303.641 31.983 0.800 2.250 1.000
108.397 311.633 29.170 0.800 2.500 1.000
121.942 318.215 26.936 0.800 2.750 1.000
132.910 323.780 25.106 0.800 3.000 1.000
141.989 328.580 23.570 0.800 3.250 1.000
149.645 332.786 22.255 0.800 3.500 1.000
156.199 336.517 21.110 0.800 3.750 1.000
161.883 339.858 20.099 0.800 4.000 1.000
171.278 345.616 18.386 0.800 4.500 1.000
175.215 348.121 17.650 0.800 4.750 1.000
178.752 350.422 16.977 0.800 5.000 1.000
42.719 235.751 48.773 0.800 1.250 0.750
82.041 260.302 40.642 0.800 1.500 0.750
108.012 277.168 35.347 0.800 1.750 0.750
126.431 289.701 31.640 0.800 2.000 0.750
150.912 307.578 26.733 0.800 2.500 0.750
159.518 314.328 24.987 0.800 2.750 0.750
166.608 320.117 23.525 0.800 3.000 0.750
172.568 325.162 22.271 0.800 3.250 0.750
182.078 333.574 20.204 0.800 3.750 0.750
185.948 337.133 19.332 0.800 4.000 0.750
189.373 340.350 18.542 0.800 4.250 0.750
195.177 345.949 17.161 0.800 4.750 0.750
197.662 348.403 16.551 0.800 5.000 0.750
39.774 146.504 74.432 0.800 0.750 0.500
98.783 205.104 53.083 0.800 1.000 0.500
150.517 259.281 35.718 0.800 1.500 0.500
164.023 274.776 31.636 0.800 1.750 0.500
181.445 296.463 26.673 0.800 2.250 0.500
187.478 304.552 24.987 0.800 2.500 0.500
192.430 311.445 23.589 0.800 2.750 0.500
196.585 317.415 22.390 0.800 3.000 0.500
200.135 322.650 21.339 0.800 3.250 0.500
203.211 327.287 20.401 0.800 3.500 0.500
205.907 331.428 19.554 0.800 3.750 0.500
208.294 335.151 18.782 0.800 4.000 0.500
210.425 338.520 18.073 0.800 4.250 0.500
212.340 341.582 17.419 0.800 4.500 0.500
214.072 344.380 16.812 0.800 4.750 0.500
215.648 346.947 16.247 0.800 5.000 0.500
114.211 63.404 115.340 0.800 0.500 0.250
162.398 163.953 67.779 0.800 0.750 0.250
184.289 211.141 48.133 0.800 1.000 0.250
196.487 239.231 38.263 0.800 1.250 0.250
204.286 258.615 32.785 0.800 1.500 0.250
209.777 273.246 29.402 0.800 1.750 0.250
213.913 284.910 27.080 0.800 2.000 0.250
217.177 294.538 25.336 0.800 2.250 0.250
219.841 302.674 23.932 0.800 2.500 0.250
222.070 309.668 22.744 0.800 2.750 0.250
223.971 315.758 21.706 0.800 3.000 0.250
225.616 321.118 20.778 0.800 3.250 0.250
227.056 325.874 19.936 0.800 3.500 0.250
